ID,Entity,Sentiment,Tweet,Tweet_Sanitizado,Sentiment_Prediction,Confidence
2671,Borderlands,Negative,"April 30 until now, for no apparent reason, BL3 just can't connect to SHiFT at all. What's going on here? I've submitted a ticket 2 days ago to Gearbox but still no respond. Please help. @Borderlands @SHiFTstatus @GearboxOfficial","April 30 until now, for no apparent reason, BL3 just can't connect to SHiFT at all. What's going on here? I've submitted a ticket 2 days ago to Gearbox but still no respond. Please help. @Borderlands @SHiFTstatus @GearboxOfficial",Neutral,0.5
9857,PlayStation5(PS5),Positive,oooooh shit i think my motherboard is already compatible,oooooh shit i think my motherboard is already compatible,Neutral,0.5
4902,GrandTheftAuto(GTA),Irrelevant,Wtf does he think he's living in GTA or something,Wtf does he think he's living in GTA or something,Neutral,0.5
2734,Borderlands,Positive,surprise i still love #borderlands ' jack pic.twitter.com/hAuwN4M4pS,surprise i still love #borderlands ' jack pic.twitter.com/hAuwN4M4pS,Neutral,0.5
7393,LeagueOfLegends,Positive,No i like u motherfucker now kiss me,No i like u motherfucker now kiss me,Neutral,0.5
3204,Facebook,Neutral,"Donald Trump Jr. - China Lied, People Died: Inside China's Death Labs | Facebook facebook.com/DonaldJTrumpJr…","Donald Trump Jr. - China Lied, People Died: Inside China's Death Labs | Facebook facebook.com/DonaldJTrumpJr…",Neutral,0.5
6267,FIFA,Negative,Pissing people off in FIFA and on twitter 😭😭😭,Pissing people off in FIFA and on twitter 😭😭😭,Neutral,0.5
7065,johnson&johnson,Irrelevant,Zombies. Calling it now. 2020 aint over fucking us,Zombies. Calling it now. 2020 aint over fucking us,Neutral,0.5
2952,Dota2,Neutral,Making crappy @Immortals til treasure 3 day 1 redd.it/itorke #dota2 https://t.co/BF3iRrkfzB,Making crappy @Immortals til treasure 3 day 1 redd.it/itorke #dota2 https://t.co/BF3iRrkfzB,Neutral,0.5
8566,NBA2K,Neutral,BITCH ASS LEGEND VIP’D MY LITTLE BROTHER ON OUR 2 GAME WIN STREAK SMFH @Ronnie2K @NBA2K pic.twitter.com/GdS3KN9jVj,BITCH ASS LEGEND VIP’D MY LITTLE BROTHER ON OUR 2 GAME WIN STREAK SMFH @Ronnie2K @NBA2K pic.twitter.com/GdS3KN9jVj,Neutral,0.5
12991,Xbox(Xseries),Negative,It may look like a WiFi router but design wise it looks better than the Xbox series X. I think it’s unique and slick. I like it imo. You’re lucky that you haven’t gone bald yet 😈,It may look like a WiFi router but design wise it looks better than the Xbox series X. I think it’s unique and slick. I like it imo. You’re lucky that you haven’t gone bald yet 😈,Neutral,0.5
7456,LeagueOfLegends,Neutral,"West had a bit of hope for a good playoff finish but it’s slowly dying with @G2esports getting worse with every game. At least NA is getting a few wins )
#LeagueOfLegends #Worlds2020 #lolesports #LCS #LEC",West had a bit of hope for a good playoff finish but it’s slowly dying with @G2esports getting worse with every game. At least NA is getting a few wins ) #LeagueOfLegends #Worlds2020 #lolesports #LCS #LEC,Neutral,0.5
6019,FIFA,Negative,Switzerland opens criminal case against FIFA boss Infantino scooplive.org/switzerland-op…,Switzerland opens criminal case against FIFA boss Infantino scooplive.org/switzerland-op…,Neutral,0.5
9393,Overwatch,Irrelevant,Today has been the most fun I’ve had watching and interacting with Overwatch League in a long time.,Today has been the most fun I’ve had watching and interacting with Overwatch League in a long time.,Neutral,0.5
12509,WorldOfCraft,Neutral,"Team JerseyBoys is now also represented on Twitch.

Welcome @chucky_CSGO  

Our chef of confidence, will offer you content from various games like World Of Warcraft, CS:GO or Valorant on Twitch. 

Click here for the Twitch Channel: tinyurl.com/y5gm9h74

#jerseyboys #twitch https://t.co/OwimJcs4uJ","Team JerseyBoys is now also represented on Twitch. Welcome @chucky_CSGO Our chef of confidence, will offer you content from various games like World Of Warcraft, CS:GO or Valorant on Twitch. Click here for the Twitch Channel: tinyurl.com/y5gm9h74 #jerseyboys #twitch https://t.co/OwimJcs4uJ",Neutral,0.5
4710,Google,Negative,"@AndroidDev I've just noticed an issue while upgrading Android Gradle Plugin from 3.5.0 to 3.6.3, the google compile-testing library is crashing when retrieving resources.

An example and more details are available there:
github.com/glureau/AGP_3_…

Is it something new?","@AndroidDev I've just noticed an issue while upgrading Android Gradle Plugin from 3.5.0 to 3.6.3, the google compile-testing library is crashing when retrieving resources. An example and more details are available there: github.com/glureau/AGP_3_… Is it something new?",Neutral,0.5
11086,TomClancysGhostRecon,Negative,"@GhostRecon @GhostRecon_UK Your PvP server doesn't work... Nobody can connect. And pls delete the scope for drones. They're useless und block syringes...
#Bugpoint #Brokenpoint pic.twitter.com/QkTNee6DVZ",@GhostRecon @GhostRecon_UK Your PvP server doesn't work... Nobody can connect. And pls delete the scope for drones. They're useless und block syringes... #Bugpoint #Brokenpoint pic.twitter.com/QkTNee6DVZ,Neutral,0.5
3980,Cyberpunk2077,Positive,This looks like a poster for a 90s action movie and I love every damn bit of it,This looks like a poster for a 90s action movie and I love every damn bit of it,Neutral,0.5
5354,Hearthstone,Neutral,"#ProtectorCup #Hearthstone

The Protector Cup #1 is over!
Here are your top 3:

🥇@Sergio932HS
🥈@spectro_cs
🥉@cristianhs30

Thanks @caturix_tribe for providing us with these amazing prizes and we will see you soon with the Protector Cup #2!

GGs to everyone that participated! pic.twitter.com/xaPIPRHoFI",#ProtectorCup #Hearthstone The Protector Cup #1 is over! Here are your top 3: 🥇@Sergio932HS 🥈@spectro_cs 🥉@cristianhs30 Thanks @caturix_tribe for providing us with these amazing prizes and we will see you soon with the Protector Cup #2! GGs to everyone that participated! pic.twitter.com/xaPIPRHoFI,Neutral,0.5
4621,Google,Neutral,"BTC scammers breach Twitter accounts of Bill Gates, Obama, Google, Apple, Uber dlvr.it/Rbkcdk","BTC scammers breach Twitter accounts of Bill Gates, Obama, Google, Apple, Uber dlvr.it/Rbkcdk",Neutral,0.5
4274,CS-GO,Positive,we've been crushing CS:GO over at @windailysports ! Congrats @jack94024127 💪🏻,we've been crushing CS:GO over at @windailysports ! Congrats @jack94024127 💪🏻,Neutral,0.5
1989,CallOfDutyBlackopsColdWar,Irrelevant,"“git gud 5head” -sniping community, probably","“git gud 5head” -sniping community, probably",Neutral,0.5
134,Amazon,Neutral,#QuizTimeMoringsWithAmazon I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in/game/share/gRE…,#QuizTimeMoringsWithAmazon I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in/game/share/gRE…,Neutral,0.5
4096,CS-GO,Neutral,1.7 million viewers? wtf? and cs:go has more than minecraft and fortnite? seriously pic.twitter.com/NsBHo8i85Z,1.7 million viewers? wtf? and cs:go has more than minecraft and fortnite? seriously pic.twitter.com/NsBHo8i85Z,Neutral,0.5
8244,Microsoft,Positive,"Delivered by our own in-house team, Microsoft Dynamics 365 enhances productivity and increases agility so your organisation can adapt quickly to change.

Get in touch today to find out more: razorblue.com/contact-us/ https://t.co/TTN9jmgAaj","Delivered by our own in-house team, Microsoft Dynamics 365 enhances productivity and increases agility so your organisation can adapt quickly to change. Get in touch today to find out more: razorblue.com/contact-us/ https://t.co/TTN9jmgAaj",Neutral,0.5
8800,NBA2K,Negative,@NBA2K @2KSupport @LD2K @Beluba  can y’all please fix this !!! pic.twitter.com/yTZ3HA6Xtf,@NBA2K @2KSupport @LD2K @Beluba can y’all please fix this !!! pic.twitter.com/yTZ3HA6Xtf,Neutral,0.5
10909,TomClancysGhostRecon,Negative,enough of this DLC Bullshit just give us a new Splinter Cell Video Game 🤦🏾‍♂️🤦🏾‍♂️,enough of this DLC Bullshit just give us a new Splinter Cell Video Game 🤦🏾♂️🤦🏾♂️,Neutral,0.5
12443,WorldOfCraft,Neutral,I tried to do some of purple invasion stuff tonight but it just turned me into the Sha of Anger. 🤬 So I did mog dungeon runs instead which included a sort of family reunion. 🐉 #bloodelf #hunter #Warcraft #worldofwarcraft #gamer #gaming #gamergirl #screenshot pic.twitter.com/yFoG2NkjTD,I tried to do some of purple invasion stuff tonight but it just turned me into the Sha of Anger. 🤬 So I did mog dungeon runs instead which included a sort of family reunion. 🐉 #bloodelf #hunter #Warcraft #worldofwarcraft #gamer #gaming #gamergirl #screenshot pic.twitter.com/yFoG2NkjTD,Neutral,0.5
5170,GrandTheftAuto(GTA),Irrelevant,"[Dirty-Gaming] GTA RP !  JJ on Tour, hat eine Villa < 3 twitch.tv/p0werflyyy","[Dirty-Gaming] GTA RP ! JJ on Tour, hat eine Villa < 3 twitch.tv/p0werflyyy",Neutral,0.5
11277,TomClancysRainbowSix,Irrelevant,Ok I'm blocking this man's he is on a new level of being,Ok I'm blocking this man's he is on a new level of being,Neutral,0.5
7600,LeagueOfLegends,Irrelevant,":c we are going to miss you in league of legends , but I'm happy for you, I wish best things for you 🥰",":c we are going to miss you in league of legends , but I'm happy for you, I wish best things for you 🥰",Neutral,0.5
11687,Verizon,Negative,@verizon Can you waive some data overage charges? Been tough for folks out here.,@verizon Can you waive some data overage charges? Been tough for folks out here.,Neutral,0.5
7384,LeagueOfLegends,Positive,League of Legends taught me to come to terms with my own disappointing third novel,League of Legends taught me to come to terms with my own disappointing third novel,Neutral,0.5
397,Amazon,Positive,"#Amazon Best Seller!

Screen Cleaner Kit - Best for LED & LCD TV,...

$19.95

amazon.com/Screen-Cleaner… https://t.co/mrUD2zbLfT","#Amazon Best Seller! Screen Cleaner Kit - Best for LED & LCD TV,... $19.95 amazon.com/Screen-Cleaner… https://t.co/mrUD2zbLfT",Neutral,0.5
8719,NBA2K,Negative,"@NBA2K you guys gotta fix the shooting bugs bc EVERYTIME I green people are kicked out . My green animation flickers like crazy before also kicking me out , my stats in park are garbage bc of it","@NBA2K you guys gotta fix the shooting bugs bc EVERYTIME I green people are kicked out . My green animation flickers like crazy before also kicking me out , my stats in park are garbage bc of it",Neutral,0.5
8179,Microsoft,Positive,"Trust in Technology is Important !
@satyanadella at #MSInspire 
I Love the Boomerang in the Background 😍 #MVPBuzz is Sharing Technology Again and Again with New Features ! It's like a Boomerang with the Community and Microsoft 🚀 pic.twitter.com/sUnTR07x5y",Trust in Technology is Important ! @satyanadella at #MSInspire I Love the Boomerang in the Background 😍 #MVPBuzz is Sharing Technology Again and Again with New Features ! It's like a Boomerang with the Community and Microsoft 🚀 pic.twitter.com/sUnTR07x5y,Neutral,0.5
452,ApexLegends,Positive,"Woohoooo Next #ApexLegends comic is out !!! These are getting so juicy !!! 

youtu.be/RtEUnyYvjU0 https://t.co/h8humm5KF9",Woohoooo Next #ApexLegends comic is out !!! These are getting so juicy !!! youtu.be/RtEUnyYvjU0 https://t.co/h8humm5KF9,Neutral,0.5
2515,Borderlands,Neutral,"Morning~!!
I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔
Either way a stream today is happening and I'm excited to hang out nonetheless!!
Hope your weekend was well. 💚 :3 pic.twitter.com/X0CrvuK8Pq",Morning~!! I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔 Either way a stream today is happening and I'm excited to hang out nonetheless!! Hope your weekend was well. 💚 :3 pic.twitter.com/X0CrvuK8Pq,Neutral,0.5
1356,Battlefield,Irrelevant,A ban for Battlefield 4 player YourDaddyyyyyy has occurred SEE DETAILS: bf4db.com/player/ban/363…,A ban for Battlefield 4 player YourDaddyyyyyy has occurred SEE DETAILS: bf4db.com/player/ban/363…,Neutral,0.5
11877,Verizon,Neutral,"This comes as Facebook faces major criticism for its inaction over rampant hate and harassment on the platform.

#facebook #markzugerberg #unilever #honda #verizon #cocacola #levistrauss #globalbrands #facebookads #advertisement #advertising #instagram #instagramads #criticism pic.twitter.com/NX77j7ycB5",This comes as Facebook faces major criticism for its inaction over rampant hate and harassment on the platform. #facebook #markzugerberg #unilever #honda #verizon #cocacola #levistrauss #globalbrands #facebookads #advertisement #advertising #instagram #instagramads #criticism pic.twitter.com/NX77j7ycB5,Neutral,0.5
